gene,name
ABCC2,ATP binding cassette subfamily C member 2
ABCC2,ATP binding cassette subfamily C member 2
ABCC2,ATP binding cassette subfamily C member 2
ABCC3,ATP binding cassette subfamily C member 3
ABCC3,ATP binding cassette subfamily C member 3
ABCC3,ATP binding cassette subfamily C member 3
ABCC3,ATP binding cassette subfamily C member 3
ABCC3,ATP binding cassette subfamily C member 3
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC4,ATP binding cassette subfamily C member 4
ABCC5,ATP binding cassette subfamily C member 5
ABCC5,ATP binding cassette subfamily C member 5
ABCC5,ATP binding cassette subfamily C member 5
ABCC5,ATP binding cassette subfamily C member 5
ABCC5-AS1,ABCC5 antisense RNA 1
ABCC6,ATP binding cassette subfamily C member 6
ABCC6,ATP binding cassette subfamily C member 6
ABCC6,ATP binding cassette subfamily C member 6
ABCC6,ATP binding cassette subfamily C member 6
ABCC6P1,ATP binding cassette subfamily C member 6 pseudogene 1
ABCC6P2,ATP binding cassette subfamily C member 6 pseudogene 2
ABCC8,ATP binding cassette subfamily C member 8
ABCC8,ATP binding cassette subfamily C member 8
ABCC8,ATP binding cassette subfamily C member 8
ABCC8,ATP binding cassette subfamily C member 8
ABCC8,ATP binding cassette subfamily C member 8
ABCC8,ATP binding cassette subfamily C member 8
ABCC8,ATP binding cassette subfamily C member 8
ABCC9,ATP binding cassette subfamily C member 9
ABCC9,ATP binding cassette subfamily C member 9
ABCC10,ATP binding cassette subfamily C member 10
ABCC10,ATP binding cassette subfamily C member 10
ABCC10,ATP binding cassette subfamily C member 10
ABCC11,ATP binding cassette subfamily C member 11
ABCC12,ATP binding cassette subfamily C member 12
ABCC13,ATP binding cassette subfamily C member 13 (pseudogene)
ABCC13,ATP binding cassette subfamily C member 13 (pseudogene)
ABCC13,ATP binding cassette subfamily C member 13 (pseudogene)
ABCD1,ATP binding cassette subfamily D member 1
ABCD1,ATP binding cassette subfamily D member 1
ABCD1,ATP binding cassette subfamily D member 1
ABCD1P1,ATP binding cassette subfamily D member 1 pseudogene 1
ABCD1P2,ATP binding cassette subfamily D member 1 pseudogene 2
ABCD1P3,ATP binding cassette subfamily D member 1 pseudogene 3
ABCD1P4,ATP binding cassette subfamily D member 1 pseudogene 4
ABCD1P5,ATP binding cassette subfamily D member 1 pseudogene 5
ABCD2,ATP binding cassette subfamily D member 2
ABCD2,ATP binding cassette subfamily D member 2
ABCD3,ATP binding cassette subfamily D member 3
ABCD3,ATP binding cassette subfamily D member 3
ABCD4,ATP binding cassette subfamily D member 4
ABCD4,ATP binding cassette subfamily D member 4
ABCD4,ATP binding cassette subfamily D member 4
ABCE1,ATP binding cassette subfamily E member 1
ABCE1,ATP binding cassette subfamily E member 1
ABCE1,ATP binding cassette subfamily E member 1
ABCF1,ATP binding cassette subfamily F member 1
ABCF1-DT,ABCF1 divergent transcript
ABCF2,ATP binding cassette subfamily F member 2
ABCF2,ATP binding cassette subfamily F member 2
ABCF2,ATP binding cassette subfamily F member 2
ABCF2,ATP binding cassette subfamily F member 2
ABCF2-H2BE1,ABCF2-H2BE1 readthrough
ABCF2P1,ATP binding cassette subfamily F member 2 pseudogene 1
ABCF2P2,ATP binding cassette subfamily F member 2 pseudogene 2
ABCF3,ATP binding cassette subfamily F member 3
ABCG1,ATP binding cassette subfamily G member 1
ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
ABCG4,ATP binding cassette subfamily G member 4
ABCG4,ATP binding cassette subfamily G member 4
ABCG5,ATP binding cassette subfamily G member 5
ABCG8,ATP binding cassette subfamily G member 8
ABCG8,ATP binding cassette subfamily G member 8
ABHD1,abhydrolase domain containing 1
ABHD1,abhydrolase domain containing 1
ABHD2,"abhydrolase domain containing 2, acylglycerol lipase"
ABHD3,"abhydrolase domain containing 3, phospholipase"
ABHD4,"abhydrolase domain containing 4, N-acyl phospholipase B"
ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
ABHD6,"abhydrolase domain containing 6, acylglycerol lipase"
ABHD8,abhydrolase domain containing 8
ABHD8,abhydrolase domain containing 8
ABHD8,abhydrolase domain containing 8
ABHD10,"abhydrolase domain containing 10, depalmitoylase"
ABHD11,abhydrolase domain containing 11
ABHD11-AS1,ABHD11 antisense RNA 1 (tail to tail)
ABHD11-AS2,ABHD11 antisense RNA 2
ABHD12,"abhydrolase domain containing 12, lysophospholipase"
ABHD12,"abhydrolase domain containing 12, lysophospholipase"
ABHD12,"abhydrolase domain containing 12, lysophospholipase"
ABHD12,"abhydrolase domain containing 12, lysophospholipase"
ABHD12B,abhydrolase domain containing 12B
ABHD13,abhydrolase domain containing 13
ABHD13,abhydrolase domain containing 13
ABHD13,abhydrolase domain containing 13
ABHD14A,abhydrolase domain containing 14A
ABHD14A,abhydrolase domain containing 14A
ABHD14A-ACY1,ABHD14A-ACY1 readthrough
ABHD14B,abhydrolase domain containing 14B
ABHD14B,abhydrolase domain containing 14B
ABHD15,abhydrolase domain containing 15
ABHD15-AS1,ABHD15 antisense RNA 1
ABHD15-AS1,ABHD15 antisense RNA 1
ABHD16A,"abhydrolase domain containing 16A, phospholipase"
ABHD16A,"abhydrolase domain containing 16A, phospholipase"
ABHD16B,abhydrolase domain containing 16B
ABHD17A,"abhydrolase domain containing 17A, depalmitoylase"
ABHD17AP1,ABHD17A pseudogene 1
ABHD17AP3,ABHD17A pseudogene 3
ABHD17AP4,ABHD17A pseudogene 4
ABHD17AP5,ABHD17A pseudogene 5
ABHD17AP6,ABHD17A pseudogene 6
ABHD17AP7,ABHD17A pseudogene 7
ABHD17AP8,ABHD17A pseudogene 8
ABHD17AP9,ABHD17A pseudogene 9
ABHD17B,"abhydrolase domain containing 17B, depalmitoylase"
ABHD17C,"abhydrolase domain containing 17C, depalmitoylase"
ABHD18,abhydrolase domain containing 18
ABI1,abl interactor 1
ABI1,abl interactor 1
ABI1P1,abl interactor 1 pseudogene 1
ABI2,abl interactor 2
ABI2,abl interactor 2
ABI2,abl interactor 2
ABI2,abl interactor 2
ABI2,abl interactor 2
ABI2,abl interactor 2
ABI3,ABI family member 3
ABI3,ABI family member 3
ABI3BP,ABI family member 3 binding protein
ABI3BP,ABI family member 3 binding protein
ABI3BP,ABI family member 3 binding protein
ABITRAM,actin binding transcription modulator
ABITRAM,actin binding transcription modulator
ABITRAM,actin binding transcription modulator
ABITRAMP1,ABITRAM pseudogene 1
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
ABLIM1,actin binding LIM protein 1
ABLIM1,actin binding LIM protein 1
ABLIM2,actin binding LIM protein family member 2
ABLIM3,actin binding LIM protein family member 3
ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
ABR,ABR activator of RhoGEF and GTPase
ABRA,actin binding Rho activating protein
ABRACL,ABRA C-terminal like
ABRACL,ABRA C-terminal like
ABRACL,ABRA C-terminal like
ABRAXAS1,"abraxas 1, BRCA1 A complex subunit"
ABRAXAS1,"abraxas 1, BRCA1 A complex subunit"
ABRAXAS1,"abraxas 1, BRCA1 A complex subunit"
ABRAXAS2,"abraxas 2, BRISC complex subunit"
ABRAXAS2,"abraxas 2, BRISC complex subunit"
ABT1,activator of basal transcription 1
ABT1P1,activator of basal transcription 1 pseudogene 1
ABTB1,ankyrin repeat and BTB domain containing 1
ABTB1,ankyrin repeat and BTB domain containing 1
ABTB1,ankyrin repeat and BTB domain containing 1
ABTB1,ankyrin repeat and BTB domain containing 1
ABTB2,ankyrin repeat and BTB domain containing 2
ABTB2,ankyrin repeat and BTB domain containing 2
ABTB2,ankyrin repeat and BTB domain containing 2
ACAA1,acetyl-CoA acyltransferase 1
ACAA2,acetyl-CoA acyltransferase 2
ACACA,acetyl-CoA carboxylase alpha
ACACB,acetyl-CoA carboxylase beta
ACACB,acetyl-CoA carboxylase beta
ACACB,acetyl-CoA carboxylase beta
ACAD,"acyl-Coenzyme A dehydrogenase, multiple (chr X)"
ACAD8,acyl-CoA dehydrogenase family member 8
ACAD9,acyl-CoA dehydrogenase family member 9
ACAD9,acyl-CoA dehydrogenase family member 9
ACAD10,acyl-CoA dehydrogenase family member 10
ACAD11,acyl-CoA dehydrogenase family member 11
ACADL,acyl-CoA dehydrogenase long chain
ACADL,acyl-CoA dehydrogenase long chain
ACADM,acyl-CoA dehydrogenase medium chain
ACADM,acyl-CoA dehydrogenase medium chain
ACADM,acyl-CoA dehydrogenase medium chain
ACADS,acyl-CoA dehydrogenase short chain
ACADS,acyl-CoA dehydrogenase short chain
ACADSB,acyl-CoA dehydrogenase short/branched chain
ACADSB,acyl-CoA dehydrogenase short/branched chain
ACADVL,acyl-CoA dehydrogenase very long chain
ACADVL,acyl-CoA dehydrogenase very long chain
ACADVL,acyl-CoA dehydrogenase very long chain
ACAN,aggrecan
ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
ACAP2-IT1,ACAP2 intronic transcript 1
ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
ACAT1,acetyl-CoA acetyltransferase 1
ACAT2,acetyl-CoA acetyltransferase 2
ACBD3,acyl-CoA binding domain containing 3
ACBD3,acyl-CoA binding domain containing 3
ACBD3-AS1,ACBD3 antisense RNA 1
ACBD4,acyl-CoA binding domain containing 4
ACBD5,acyl-CoA binding domain containing 5
ACBD5,acyl-CoA binding domain containing 5
ACBD6,acyl-CoA binding domain containing 6
ACBD7,acyl-CoA binding domain containing 7
ACBD7,acyl-CoA binding domain containing 7
ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACCSL,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like
ACD,ACD shelterin complex subunit and telomerase recruitment factor
ACD,ACD shelterin complex subunit and telomerase recruitment factor
ACD,ACD shelterin complex subunit and telomerase recruitment factor
ACD,ACD shelterin complex subunit and telomerase recruitment factor
ACD,ACD shelterin complex subunit and telomerase recruitment factor
ACD,ACD shelterin complex subunit and telomerase recruitment factor
ACD,ACD shelterin complex subunit and telomerase recruitment factor
ACD,ACD shelterin complex subunit and telomerase recruitment factor
ACE,angiotensin I converting enzyme
ACE,angiotensin I converting enzyme
ACE2,angiotensin I converting enzyme 2
ACE3P,"angiotensin I converting enzyme 3, pseudogene"
ACER1,alkaline ceramidase 1
ACER2,alkaline ceramidase 2
ACER2,alkaline ceramidase 2
ACER2P1,ACER2 pseudogene 1
ACER3,alkaline ceramidase 3
ACER3,alkaline ceramidase 3
ACHE,acetylcholinesterase (Cartwright blood group)
ACIN1,apoptotic chromatin condensation inducer 1
ACIN1,apoptotic chromatin condensation inducer 1
ACKR1,atypical chemokine receptor 1 (Duffy blood group)
ACKR1,atypical chemokine receptor 1 (Duffy blood group)
ACKR1,atypical chemokine receptor 1 (Duffy blood group)
ACKR1,atypical chemokine receptor 1 (Duffy blood group)
ACKR2,atypical chemokine receptor 2
ACKR2,atypical chemokine receptor 2
ACKR2,atypical chemokine receptor 2
ACKR3,atypical chemokine receptor 3
ACKR3,atypical chemokine receptor 3
ACKR4,atypical chemokine receptor 4
ACKR4,atypical chemokine receptor 4
ACKR4,atypical chemokine receptor 4
ACKR4,atypical chemokine receptor 4
ACKR4,atypical chemokine receptor 4
ACKR4P1,ACKR4 pseudogene 1
ACLS,acrocallosal syndrome
ACLY,ATP citrate lyase
ACLY,ATP citrate lyase
ACLY,ATP citrate lyase
ACMG,acromegaly
ACMSD,aminocarboxymuconate semialdehyde decarboxylase
ACNATP,acyl-CoA:amino acid N-acyltransferase pseudogene
ACO1,aconitase 1
ACO1,aconitase 1
ACO1,aconitase 1
ACO1,aconitase 1
ACO1,aconitase 1
ACO1,aconitase 1
ACO2,aconitase 2
ACO2,aconitase 2
ACOD1,aconitate decarboxylase 1
ACOT1,acyl-CoA thioesterase 1
ACOT1,acyl-CoA thioesterase 1
ACOT1,acyl-CoA thioesterase 1
ACOT2,acyl-CoA thioesterase 2
ACOT2,acyl-CoA thioesterase 2
ACOT4,acyl-CoA thioesterase 4
ACOT4,acyl-CoA thioesterase 4
ACOT4,acyl-CoA thioesterase 4
ACOT6,acyl-CoA thioesterase 6
ACOT7,acyl-CoA thioesterase 7
ACOT7,acyl-CoA thioesterase 7
ACOT7,acyl-CoA thioesterase 7
ACOT7,acyl-CoA thioesterase 7
ACOT7,acyl-CoA thioesterase 7
ACOT7,acyl-CoA thioesterase 7
ACOT7,acyl-CoA thioesterase 7
ACOT8,acyl-CoA thioesterase 8
ACOT8,acyl-CoA thioesterase 8
ACOT8,acyl-CoA thioesterase 8
ACOT8,acyl-CoA thioesterase 8
ACOT8,acyl-CoA thioesterase 8
ACOT8,acyl-CoA thioesterase 8
ACOT8,acyl-CoA thioesterase 8
ACOT8,acyl-CoA thioesterase 8
ACOT9,acyl-CoA thioesterase 9
ACOT9,acyl-CoA thioesterase 9
ACOT9,acyl-CoA thioesterase 9
ACOT11,acyl-CoA thioesterase 11
ACOT11,acyl-CoA thioesterase 11
ACOT11,acyl-CoA thioesterase 11
ACOT11,acyl-CoA thioesterase 11
ACOT11,acyl-CoA thioesterase 11
ACOT12,acyl-CoA thioesterase 12
ACOT12,acyl-CoA thioesterase 12
ACOT12,acyl-CoA thioesterase 12
ACOT13,acyl-CoA thioesterase 13
ACOX1,acyl-CoA oxidase 1
ACOX2,acyl-CoA oxidase 2
ACOX2,acyl-CoA oxidase 2
ACOX2,acyl-CoA oxidase 2
ACOX2,acyl-CoA oxidase 2
ACOX2,acyl-CoA oxidase 2
ACOX2,acyl-CoA oxidase 2
ACOX2,acyl-CoA oxidase 2
ACOX2,acyl-CoA oxidase 2
ACOX2,acyl-CoA oxidase 2
ACOX3,"acyl-CoA oxidase 3, pristanoyl"
ACOXL,acyl-CoA oxidase like
ACOXL-AS1,ACOXL antisense RNA 1
ACP1,acid phosphatase 1
ACP1,acid phosphatase 1
ACP1,acid phosphatase 1
ACP1,acid phosphatase 1
ACP1,acid phosphatase 1
ACP1,acid phosphatase 1
ACP1,acid phosphatase 1
ACP1,acid phosphatase 1
ACP1,acid phosphatase 1
ACP2,"acid phosphatase 2, lysosomal"
ACP3,acid phosphatase 3
ACP3,acid phosphatase 3
ACP3,acid phosphatase 3
ACP4,acid phosphatase 4
ACP5,"acid phosphatase 5, tartrate resistant"
ACP5,"acid phosphatase 5, tartrate resistant"
ACP5,"acid phosphatase 5, tartrate resistant"
ACP5,"acid phosphatase 5, tartrate resistant"
ACP6,"acid phosphatase 6, lysophosphatidic"
ACP6,"acid phosphatase 6, lysophosphatidic"
ACP7,"acid phosphatase 7, tartrate resistant (putative)"
ACP7,"acid phosphatase 7, tartrate resistant (putative)"
ACP7,"acid phosphatase 7, tartrate resistant (putative)"
ACR,acrosin
ACR,acrosin
ACRBP,acrosin binding protein
ACRBP,acrosin binding protein
ACRBP,acrosin binding protein
ACRBP,acrosin binding protein
ACRBP,acrosin binding protein
ACRBP,acrosin binding protein
ACRP1,ACR pseudogene 1
ACRV1,acrosomal vesicle protein 1
ACRV1,acrosomal vesicle protein 1
ACRV1,acrosomal vesicle protein 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSBG2,acyl-CoA synthetase bubblegum family member 2
ACSBG2,acyl-CoA synthetase bubblegum family member 2
ACSBG2,acyl-CoA synthetase bubblegum family member 2
ACSF2,acyl-CoA synthetase family member 2
ACSF2,acyl-CoA synthetase family member 2
ACSF3,acyl-CoA synthetase family member 3
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL3,acyl-CoA synthetase long chain family member 3
ACSL3,acyl-CoA synthetase long chain family member 3
ACSL3-AS1,ACSL3 antisense RNA 1
ACSL4,acyl-CoA synthetase long chain family member 4
ACSL4,acyl-CoA synthetase long chain family member 4
ACSL4,acyl-CoA synthetase long chain family member 4
ACSL4,acyl-CoA synthetase long chain family member 4
ACSL5,acyl-CoA synthetase long chain family member 5
ACSL5,acyl-CoA synthetase long chain family member 5
ACSL5,acyl-CoA synthetase long chain family member 5
ACSL5,acyl-CoA synthetase long chain family member 5
ACSL5,acyl-CoA synthetase long chain family member 5
ACSL5,acyl-CoA synthetase long chain family member 5
